  dataset     zr_2     zr_1        a      v_2       t0        d      szr       sv      st0      v_1  penalty      fit     time   method
       01   0.4468   0.3343   1.5925   3.0620   0.7460   0.2989   0.0009   0.0006   0.4185   4.4926   0.0000 -73.9523  69.5870       ML
       02   0.4549   0.7374   0.8914  -0.3948   0.7924  -0.0243   0.5252   1.3575   0.5723  -0.5735   0.0000 113.2901 192.8020       ML
       04   0.5189   0.5322   0.9517  -0.0466   0.6140   0.0183   0.0000   0.7122   0.3392   0.4050   0.0000  88.5662 147.7250       ML
       05   0.4200   0.3613   0.9786  -0.0369   0.5830   0.0378   0.5091   0.0002   0.6316   1.6708   0.0000 150.7340 898.4070       ML
       06   0.5175   0.2416   1.0968  -1.1731   0.6108   0.0212   0.2084   0.5553   0.3921   1.9575   0.0000  93.1560 374.4250       ML
       07   0.5478   0.4131   1.1561   0.5025   0.6490   0.0526   0.5130   0.3485   0.2524   0.4526   0.0000 135.5215 334.3650       ML
       08   0.7850   0.8583   1.0419   1.7567   0.6974  -0.1272   0.2834   0.1879   0.4892   0.1720   0.0000  -4.7206 165.0040       ML
       09   0.3221   0.2471   1.2264   0.7578   0.4652   0.0856   0.2060   2.8063   0.3129   3.4982   0.0000  71.6547 388.3420       ML
       10   0.5030   0.5096   0.8393  -0.0872   0.4464  -0.0034   0.4339   1.0258   0.2178  -0.5476   0.0000  22.4864 258.8170       ML
       11   0.4502   0.1660   1.0892   0.4871   0.6469   0.1355   0.3320   1.3664   0.4555   2.9758   0.0000 126.1013 191.0140       ML
       12   0.5048   0.5696   1.2202   2.3337   0.6470   0.0551   0.6023   0.0246   0.2980   2.4366   0.0000 -27.4784 489.8150       ML
       15   0.4461   0.3446   1.1123   0.2431   0.5461   0.0282   0.0000   0.9319   0.3394  -0.4899   0.0000 101.3753 141.0020       ML
       16   0.6004   0.8265   1.0893   1.5509   0.5495  -0.2329   0.3470   0.6117   0.4001   0.5263   0.0000  18.3969 363.1490       ML
       17   0.7304   0.8616   1.2162  -0.6308   0.6234  -0.2264   0.2769   0.7939   0.5343  -2.1153   0.0000 142.8497 123.2290       ML
       18   0.3964   0.4747   1.1195   2.2040   0.4218  -0.0450   0.0000   0.8742   0.2769   0.6748   0.0000  48.2951  88.8980       ML
       19   0.3691   0.3473   1.1459   2.9509   0.4565   0.0028   0.2823   0.7926   0.1922   3.2971   0.0000 -90.6641 190.2530       ML
       20   0.4598   0.6051   0.9225  -0.1689   0.6240  -0.0078   0.0000   0.7617   0.3928  -0.3008   0.0000  96.4230 137.9190       ML
       21   0.4529   0.2946   0.9164  -0.1683   0.5571   0.0182   0.0023   0.4747   0.3074   1.1366   0.0000  63.8221  63.4070       ML
       22   0.4706   0.6380   0.7458  -0.8601   0.6033   0.0590   0.2655   0.0013   0.2614   1.7364   0.0000 -60.7010  96.8040       ML
       23   0.3400   0.6024   0.9084   1.2081   0.5571   0.0071   0.1422   0.0012   0.5137  -0.1180   0.0000 118.4527  72.5430       ML
       24   0.4805   0.4123   0.8862   2.1162   0.6259   0.0640   0.0877   0.4884   0.2710   3.2544   0.0000 -72.9122  59.7710       ML
       25   0.2879   0.1117   1.5822   2.2891   0.5037   0.3291   0.1964   0.0896   0.4515   2.4124   0.0000  99.8065  97.9340       ML
       26   0.5980   0.5513   0.7562  -0.9123   0.7274  -0.0173   0.6220   0.6911   0.4156  -1.1790   0.0000  59.7783 289.5700       ML
       27   0.4220   0.7259   0.9918   0.4417   0.6751   0.0126   0.5481   0.0199   0.3485   1.6308   0.0000  31.2673 142.5980       ML
       28   0.5997   0.7388   0.9406  -0.6269   0.5540  -0.0864   0.2168   1.4254   0.2933  -1.6908   0.0000  47.4733  84.3540       ML
