  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.1735   2.4336   5.6203   0.7649   0.5491   0.0633   0.9627   0.4144   0.0000 -70.6510 422.4300       ML
      102   0.4323   0.8515   0.4474   0.7695   0.0459   0.0083   0.0007   0.5441   0.0000 127.7230  95.2010       ML
      104   0.4443   0.9704   0.5532   0.6095   0.0719   0.0021   1.0211   0.3838   0.0000  93.3280 138.3190       ML
      105   0.5410   0.9757   0.0345   0.5936  -0.0242   0.7375   0.6966   0.6102   0.0000 159.7427 1265.0070       ML
      106   0.6516   0.9846  -1.3441   0.6794  -0.0776   0.0000   1.8176   0.4309   0.0000 116.7904 160.9700       ML
      107   0.5361   1.1590   0.2378   0.6411   0.0025   0.5355   0.3817   0.2209   0.0000 136.8421 155.7750       ML
      108   0.7626   1.0096   1.8997   0.7163  -0.0975   0.4586   1.4039   0.4876   0.0000   2.1293 105.6700       ML
      109   0.2769   1.1872   2.1249   0.4693   0.0879   0.2365   2.7004   0.3224   0.0000  82.1724 170.8580       ML
      110   0.2505   0.8735   1.2357   0.4649   0.0827   0.0247   1.8829   0.2931   0.0000  24.3815  68.2170       ML
      111   0.6681   0.9451  -0.3983   0.7100  -0.0560   0.6637   1.8683   0.5664   0.0000 133.8011 227.2100       ML
      112   0.5744   1.2637   2.5731   0.6648   0.0523   0.8513   0.3852   0.2916   0.0000 -29.1611 241.9450       ML
      115   0.4771   1.1429  -0.3101   0.5191   0.0130   0.0702   0.9664   0.3050   0.0000 115.8717 175.7120       ML
      116   0.4304   1.3402   1.9527   0.4740  -0.0455   0.0255   0.0000   0.2060   0.0000  21.7663 111.2340       ML
      117   0.7479   1.0699  -0.9126   0.6374  -0.1923   0.1646   0.0001   0.5406   0.0000 150.0664 104.0340       ML
      118   0.2941   1.1992   2.2322   0.4512   0.0738   0.3228   0.8272   0.3208   0.0000  62.9969 214.9580       ML
      119   0.2995   1.1738   4.0455   0.4567  -0.0081   0.0234   1.8131   0.2035   0.0000 -93.3405 142.9560       ML
      120   0.5956   0.9708  -0.5135   0.6071  -0.0586   0.2310   0.8461   0.3881   0.0000 105.7729 260.4920       ML
      121   0.4131   0.8538   0.1572   0.5824   0.0049   0.0545   0.8518   0.3667   0.0000  66.6312  86.1350       ML
      122   0.5696   0.7135   0.1531   0.5955   0.0586   0.1183   0.5189   0.2570   0.0000 -15.8604  75.7920       ML
      123   0.3601   0.9312   1.1872   0.5726   0.0563   0.4971   0.0001   0.5228   0.0000 122.0073 447.5690       ML
      124   0.3282   1.0213   3.1777   0.6200   0.1289   0.1301   0.0001   0.2905   0.0000 -65.4283 131.1500       ML
      125   0.2369   1.4381   2.0415   0.5093   0.2832   0.3713   0.5760   0.4002   0.0000 117.9128 240.0150       ML
      126   0.6198   0.6993  -1.2655   0.7569  -0.0150   0.1421   0.8130   0.4748   0.0000  61.4170  38.9460       ML
      127   0.5420   1.0850   1.3538   0.6718   0.0300   0.9159   1.1286   0.3245   0.0000  71.8657 453.3710       ML
      128   0.4924   0.8690  -0.1044   0.5481  -0.0003   0.0002   0.8909   0.2893   0.0000  48.1987  84.2370       ML
