  dataset        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   1.8218   4.8872   0.8612   0.3912   0.7878   0.7871   0.4361   0.0000 -70.2814 315.3160       ML
      102   0.8446   0.1349   0.7812   0.0240   0.4425   0.0004   0.5440   0.0000 127.9149 208.4250       ML
      104   0.8615   0.3518   0.6566   0.0207   0.0000   1.0642   0.4267   0.0000  88.7765  94.9850       ML
      105   0.9472   0.1984   0.5615  -0.0079   0.0001   0.3105   0.6114   0.0000 159.9534  90.9030       ML
      106   0.8565  -0.4491   0.6865  -0.0433   0.0142   0.0013   0.4749   0.0000 114.0692 286.1800       ML
      107   1.1534   0.3560   0.6179   0.0315   0.2499   0.2210   0.2392   0.0000 140.2973 131.8790       ML
      108   1.1164   3.8366   0.7050  -0.0062   0.0000   2.2351   0.4891   0.0000   5.5822 107.3990       ML
      109   0.9791   0.5947   0.4694   0.0251   0.5738   0.0007   0.2795   0.0000  83.0885 168.0730       ML
      110   0.9057  -0.5309   0.4701   0.0146   0.2464   3.9896   0.2971   0.0000  26.0764  97.3120       ML
      111   0.8722   0.4582   0.7446   0.0242   0.9999   1.2211   0.5789   0.0000 132.2509 580.4390       ML
      112   1.2245   2.3990   0.6362   0.0693   0.4881   0.0004   0.2942   0.0000 -25.9865 174.4260       ML
      115   1.0733  -0.6863   0.5675   0.0347   0.1116   1.5923   0.4369   0.0000 124.0978  72.7590       ML
      116   1.1938   1.9096   0.5015  -0.1412   0.0004   0.5538   0.3173   0.0000  27.0753 143.9140       ML
      117   1.0141   0.2973   0.6417  -0.0671   0.0049   1.1252   0.5603   0.0000 153.7838  73.3760       ML
      118   1.0177   1.0587   0.4433  -0.0412   0.0041   0.0354   0.3162   0.0000  58.5024 119.2260       ML
      119   0.9866   2.3842   0.4771  -0.0207   0.0323   0.8639   0.2568   0.0000 -84.5075 175.9210       ML
      120   0.9475  -0.0724   0.6030  -0.0248   0.1193   0.5586   0.3927   0.0000 106.5678  71.7220       ML
      121   0.8624  -0.2777   0.5722   0.0058   0.0018   0.8746   0.3941   0.0000  75.4602  86.0630       ML
      122   0.7328   0.5417   0.5997   0.0917   0.4494   0.9345   0.2306   0.0000 -17.9648 169.1590       ML
      123   0.8808   0.5700   0.6044  -0.0058   0.8559   0.4097   0.5386   0.0000 119.7411 372.3010       ML
      124   0.8774   2.3729   0.6236   0.0501   0.0013   0.1467   0.2805   0.0000 -70.2564  87.3880       ML
      125   1.3580   0.7357   0.4019   0.0143   0.0005   0.2400   0.3600   0.0000 130.6203  84.5180       ML
      126   0.6796  -0.3969   0.7463   0.0144   0.6363   0.0006   0.4603   0.0000  61.5525 209.7300       ML
      127   1.0374   1.3411   0.6682   0.0441   0.7598   0.8004   0.3150   0.0000  73.1743 290.1240       ML
      128   0.8036  -0.1374   0.5684  -0.0271   0.2547   0.0007   0.3073   0.0000  49.1298  97.1430       ML
