  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.9218   1.1900   0.6852  -0.1498   0.1419   0.1170   0.5774   0.0000 -37.3864  62.6010       ML
      102   0.5184   0.8463   0.7804   0.0173   0.4137   0.3702   0.5453   0.0000 128.0809 208.5300       ML
      104   0.5718   0.8622   0.6536  -0.0214   0.1659   0.8389   0.4441   0.0000  94.8223  77.4480       ML
      105   0.5457   0.9598   0.5836  -0.0261   0.5949   0.4599   0.6099   0.0000 159.7928 409.9480       ML
      106   0.4292   0.8708   0.6710  -0.0199   0.0001   0.0001   0.5151   0.0000 121.5909  95.1810       ML
      107   0.5845   1.0885   0.6474  -0.0178   0.0069   0.0000   0.3308   0.0000 141.3071 148.4450       ML
      108   0.9105   1.1151   0.6773  -0.2213   0.0958   0.0221   0.5213   0.0000   4.6906  95.2130       ML
      109   0.6053   0.9520   0.4542  -0.0317   0.0169   0.0005   0.3098   0.0000  85.1652 143.8840       ML
      110   0.4396   0.8506   0.4522   0.0302   0.4852   1.3757   0.2456   0.0000  25.6947 175.3100       ML
      111   0.6557   0.9516   0.7187  -0.0381   0.0003   3.7534   0.5880   0.0000 136.6102 146.3510       ML
      112   0.8955   1.0434   0.6232  -0.2655   0.1413   0.7012   0.5020   0.0000 -15.6000  44.3370       ML
      115   0.3323   1.0925   0.5651   0.1036   0.0004   1.3401   0.4001   0.0000 119.5979  56.4660       ML
      116   0.8911   0.9634   0.6169  -0.3217   0.0355   0.0000   0.5890   0.0000  28.7494  67.9490       ML
      117   0.5839   1.0071   0.6437  -0.1042   0.0006   0.9458   0.5531   0.0000 152.5108 171.1150       ML
      118   0.6751   1.0080   0.4369  -0.1323   0.0000   0.0006   0.3946   0.0000  71.3832 108.9350       ML
      119   0.7899   0.9181   0.4801  -0.0893   0.0059   0.0011   0.3315   0.0000 -49.0896  51.5650       ML
      120   0.5013   0.9268   0.6126  -0.0016   0.0000   0.4747   0.3762   0.0000  99.5470 121.1250       ML
      121   0.4234   0.8454   0.5877   0.0084   0.0000   0.6264   0.3745   0.0000  67.1789 168.2090       ML
      122   0.6069   0.7221   0.6084   0.0441   0.2960   0.6056   0.2624   0.0000 -18.2070  50.4280       ML
      123   0.5723   0.8545   0.5744  -0.0330   0.3691   0.0005   0.5493   0.0000 124.4807 304.6080       ML
      124   0.8012   0.8808   0.6059  -0.0535   0.0014   0.0027   0.3485   0.0000 -47.8059  67.9100       ML
      125   0.6568   0.8282   0.6282   0.0835   0.0007   0.0003   0.7736   0.0000 140.0675 181.3930       ML
      126   0.4493   0.6779   0.7379   0.0263   0.4077   0.0013   0.4562   0.0000  61.9579 157.5220       ML
      127   0.7159   0.9511   0.6565  -0.0732   0.3620   0.0000   0.3598   0.0000  72.2947 126.4530       ML
      128   0.4780   0.8231   0.5609   0.0010   0.0945   0.0003   0.3162   0.0000  48.3912  85.4480       ML
