  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      101   0.6958   3.4025   3.7504   0.6551   0.1602   0.4147   0.0000 -39.3140   4.9010       ML
      102   0.4127   0.9150   0.7352   0.7565   0.0716   0.4211   0.0000  52.3745   1.1980       ML
      104   0.2109   0.6504   2.5469   0.7811   0.0920   0.5426   0.0000  37.9977   2.0790       ML
      105   0.5841   1.0682   0.0363   0.4898  -0.0986   0.4215   0.0000  73.7458   1.1230       ML
      106   0.6751   1.0767  -1.1857   0.6029  -0.1066   0.3194   0.0000  56.1671   0.9150       ML
      107   0.4401   1.1198   0.6061   0.6434   0.0622   0.3130   0.0000  67.3013   0.7730       ML
      108   0.8071   1.1336   1.0739   0.6957  -0.1201   0.4890   0.0000   6.5664   1.5570       ML
      109   0.2790   1.0738   1.4886   0.4527   0.1358   0.2981   0.0000  46.2754   1.1080       ML
      110   0.3308   0.8594   0.8121   0.4284   0.0658   0.2357   0.0000  16.1516   0.7840       ML
      111   0.3460   0.8341   1.1492   0.6999   0.0315   0.5306   0.0000  61.9857   1.6650       ML
      112   0.4306   1.2736   2.7691   0.6818   0.2253   0.2533   0.0000 -33.5801   0.9010       ML
      115   0.1623   1.0480   1.3781   0.6160   0.2074   0.5075   0.0000  56.1866   2.1250       ML
      116   0.2566   1.6672   2.8199   0.4685   0.0654   0.2331   0.0000   5.2638   0.9650       ML
      117   0.6850   0.8207  -0.6137   0.7624  -0.0687   0.6843   0.0000  77.1367   1.5060       ML
      118   0.1580   1.4643   3.1990   0.4633   0.1928   0.3757   0.0000  21.8800   1.3310       ML
      119   0.3103   1.1237   3.1842   0.4425   0.0301   0.2241   0.0000 -50.6000   0.7790       ML
      120   0.2557   1.0045   1.0052   0.6015   0.1261   0.3583   0.0000  51.9465   0.9690       ML
      121   0.3282   0.8267   0.5422   0.5817   0.0455   0.3246   0.0000  23.9352   2.5860       ML
      122   0.7088   0.6987  -0.7725   0.5946  -0.0081   0.2321   0.0000 -16.5002   0.6790       ML
      123   0.3605   0.8412   1.1942   0.5727   0.0443   0.5489   0.0000  54.1954   1.4130       ML
      124   0.6588   0.8302   1.5133   0.6281  -0.0312   0.3065   0.0000 -29.7311   0.7980       ML
      125   0.1540   1.5952   2.2935   0.4925   0.3561   0.4382   0.0000  63.2648   1.2850       ML
      126   0.5640   0.8686  -0.4600   0.6603  -0.0750   0.2827   0.0000  32.0221   0.8620       ML
      127   0.5264   1.0631   0.6989   0.5904   0.0196   0.2178   0.0000  42.2195   0.5510       ML
      128   0.3905   0.8768   0.5034   0.5603   0.0174   0.3314   0.0000  27.2775   1.2310       ML
