  dataset        a       t0        d      st0  penalty      fit     time   method
      101   0.8300   0.7308   0.1108   0.4553   0.0000  49.2088   0.4370       ML
      102   0.8932   0.7576   0.0338   0.4211   0.0000  53.8386   0.5750       ML
      104   0.5236   0.7955   0.0293   0.5451   0.0000  39.0640   0.5440       ML
      105   1.0523   0.4929  -0.0559   0.4270   0.0000  76.1949   0.5340       ML
      106   0.8843   0.6608  -0.0071   0.4336   0.0000  59.6624   0.4030       ML
      107   1.0794   0.6545   0.0283   0.3397   0.0000  70.1202   0.2910       ML
      108   0.8894   0.7136   0.0350   0.4973   0.0000  69.1004   0.5890       ML
      109   0.9860   0.4438   0.0151   0.2874   0.0000  54.7841   0.3290       ML
      110   0.8348   0.4246   0.0058   0.2359   0.0000  17.3309   0.2160       ML
      111   0.7822   0.7059  -0.0249   0.5403   0.0000  63.4038   0.6900       ML
      112   0.8935   0.7053   0.1904   0.2613   0.0000  30.7340   0.4510       ML
      115   0.8667   0.6189   0.0406   0.5480   0.0000  64.4649   0.5030       ML
      116   0.8516   0.5857  -0.1583   0.4456   0.0000  56.2985   0.4290       ML
      117   0.7893   0.7657   0.0019   0.6841   0.0000  78.5605   0.5080       ML
      118   0.9013   0.4703  -0.0302   0.4210   0.0000  46.7362   0.4820       ML
      119   0.8076   0.4986   0.0447   0.2794   0.0000  -1.7623   0.2920       ML
      120   0.9170   0.6083   0.0108   0.3563   0.0000  54.2033   0.3630       ML
      121   0.8601   0.5557  -0.0095   0.3277   0.0000  27.5622   0.5010       ML
      122   0.6757   0.6013   0.0669   0.2131   0.0000 -14.7470   0.1890       ML
      123   0.7908   0.5753  -0.0017   0.5593   0.0000  56.7471   0.5910       ML
      124   0.7461   0.6322   0.0218   0.2927   0.0000  12.3520   0.2870       ML
      125   0.9564   0.5556   0.0590   0.6233   0.0000  71.1088   1.8360       ML
      126   0.8634   0.6590  -0.0502   0.2806   0.0000  32.4214   0.4020       ML
      127   1.0321   0.5923   0.0322   0.2143   0.0000  52.8111   0.2810       ML
      128   0.8528   0.5519  -0.0449   0.3299   0.0000  30.6758   0.3750       ML
