  dataset        a        v       t0        d      st0  penalty      fit     time   method
      101   2.2645   3.8555   0.5321  -0.0508   0.4081   0.0000 -39.2850   1.1950       ML
      102   0.8975   0.3418   0.7573   0.0338   0.4210   0.0000  52.4624   1.3050       ML
      104   0.5234   0.1795   0.7955   0.0294   0.5450   0.0000  38.9234   2.6690       ML
      105   1.0598   0.3574   0.4922  -0.0558   0.4266   0.0000  74.0289   0.9820       ML
      106   0.8938  -0.5051   0.6599  -0.0067   0.4334   0.0000  56.5318   1.1680       ML
      107   1.0893   0.3930   0.6536   0.0280   0.3394   0.0000  67.4675   1.2650       ML
      108   1.1757   2.3870   0.6970   0.0443   0.5043   0.0000   9.6386   1.1230       ML
      109   0.9964   0.4640   0.4430   0.0152   0.2868   0.0000  51.3454   0.7790       ML
      110   0.8348  -0.0375   0.4246   0.0057   0.2360   0.0000  17.3153   0.6830       ML
      111   0.7849   0.3544   0.7058  -0.0251   0.5403   0.0000  62.1560   1.1460       ML
      112   1.2170   2.4899   0.6812   0.1838   0.2588   0.0000 -33.3895   0.9790       ML
      115   0.8744  -0.4965   0.6184   0.0404   0.5481   0.0000  61.6667   1.2260       ML
      116   1.0479   2.1867   0.5711  -0.1596   0.4431   0.0000   5.6425   1.4080       ML
      117   0.7928   0.3620   0.7654   0.0018   0.6840   0.0000  77.3432   1.5040       ML
      118   0.9662   1.2788   0.4663  -0.0314   0.4189   0.0000  27.2664   1.1880       ML
      119   0.9676   2.2720   0.4530  -0.0450   0.2329   0.0000 -56.8137   1.4380       ML
      120   0.9182  -0.1479   0.6081   0.0108   0.3560   0.0000  53.8990   0.8890       ML
      121   0.8287  -0.3371   0.5718   0.0059   0.3444   0.0000  25.7419   1.5390       ML
      122   0.6245   0.4157   0.6066   0.0640   0.2207   0.0000 -16.8457   0.5430       ML
      123   0.7968   0.4836   0.5750  -0.0016   0.5590   0.0000  54.4491   1.3340       ML
      124   0.8876   2.2547   0.6229   0.0263   0.2869   0.0000 -29.4158   0.8910       ML
      125   1.0279   0.6735   0.5473   0.0813   0.5839   0.0000  64.0108   4.7990       ML
      126   0.8647  -0.1614   0.6589  -0.0502   0.2804   0.0000  32.1078   1.4950       ML
      127   1.0680   0.7979   0.5897   0.0322   0.2142   0.0000  42.2639   0.9290       ML
      128   0.8531  -0.0566   0.5518  -0.0449   0.3300   0.0000  30.6397   1.3950       ML
