  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      101   0.9718   1.6923   0.9693   0.3349   0.6365   0.0000 -28.8999   0.9790       ML
      102   0.5687   0.8996   0.7558   0.0042   0.4219   0.0000  52.6613   0.4700       ML
      104   0.5236   0.6858   0.7313   0.0318   0.4574   0.0000  40.0245   0.6630       ML
      105   0.5922   1.0696   0.4897  -0.1027   0.4220   0.0000  73.7493   0.5170       ML
      106   0.4016   0.9061   0.6508   0.0408   0.4301   0.0000  57.0306   0.5840       ML
      107   0.5777   1.0843   0.6544  -0.0123   0.3534   0.0000  68.3512   0.5220       ML
      108   0.9127   1.2093   0.6942  -0.1992   0.5216   0.0000   9.6098   1.0260       ML
      109   0.5853   0.9832   0.4475  -0.0293   0.3098   0.0000  52.7173   0.4060       ML
      110   0.4718   0.8342   0.4253   0.0159   0.2342   0.0000  17.1029   0.3250       ML
      111   0.5657   0.7907   0.7030  -0.0483   0.5383   0.0000  62.2686   0.6910       ML
      112   0.9476   1.0921   0.6985  -0.1298   0.5030   0.0000 -32.7938   1.3310       ML
      115   0.3697   0.8931   0.6170   0.0952   0.5212   0.0000  60.1697   0.8750       ML
      116   0.8680   0.9449   0.6967  -0.1620   0.5775   0.0000  11.2956   0.5220       ML
      117   0.5740   0.8009   0.7614  -0.0267   0.6779   0.0000  77.2338   0.8990       ML
      118   0.6864   0.9257   0.4715  -0.1215   0.4528   0.0000  28.6121   1.3970       ML
      119   0.8091   0.8573   0.4668  -0.1302   0.3458   0.0000 -36.5233   1.1360       ML
      120   0.4487   0.9169   0.6098   0.0336   0.3563   0.0000  53.4899   0.5790       ML
      121   0.4992   0.8840   0.5451   0.0002   0.3008   0.0000  27.9790   0.3560       ML
      122   0.5999   0.6751   0.5939   0.0208   0.2313   0.0000 -16.1598   0.3030       ML
      123   0.5850   0.7965   0.5727  -0.0279   0.5628   0.0000  54.8213   0.8910       ML
      124   0.8523   0.8601   0.6251  -0.1117   0.3440   0.0000 -26.8949   0.5930       ML
      125   0.6194   0.9329   0.5724   0.0591   0.7069   0.0000  75.0475   1.2110       ML
      126   0.4723   0.8664   0.6579  -0.0395   0.2795   0.0000  32.2099   0.4830       ML
      127   0.7007   0.9331   0.6654  -0.0406   0.3783   0.0000  41.3043   0.7410       ML
      128   0.4917   0.8522   0.5522  -0.0424   0.3309   0.0000  30.6550   0.7560       ML
